Anger	Anticipation	---	---	Joy	---	---	---	on a side note, just because you think smtg is wrong, doesn't mean everyone else  have to live accd to your beliefs.. ^^ #SemST
---	Anticipation	---	---	Joy	---	Surprise	---	Woah the hashtag puts the rainbow heart itself there that's weird #butimnotgay #SemST
Anger	---	Disgust	Fear	---	Sadness	---	Trust	I refuse 2comply w/Bad laws. Just Because #SCOTUS forced laws on us does NOT make them right. They force bad laws on us: #SemST
Anger	---	---	---	Joy	---	---	Trust	Just owned a woman who works for planned parenthood. #factsonly #SemST
Anger	---	Disgust	---	---	Sadness	---	---	If it's getting old maybe you should stop calling embryos & fetuses babies. #SemST
Anger	Anticipation	Disgust	---	---	Sadness	---	---	@_hannahwilhoit @paigem32 I'm done with the convo. But before I go. #SemST
Anger	Anticipation	Disgust	Fear	---	Sadness	---	---	Ok now how about we handle up on something just a little more important.....like MURDER   #SemST
Anger	---	Disgust	---	---	Sadness	---	---	@WhiteHouse  @POTUS All children except the millions that have been aborted #everylifematters #SemST
Anger	Anticipation	---	Fear	---	Sadness	---	Trust	The only solution I see against the #POTUS #SCOTUS #Tyranny is #ArticleV #FederalistPapers #SCOTUScare #GayMarriage #wtf #SemST
Anger	---	---	Fear	---	Sadness	---	Trust	Why do you cry when a dog dies in a movie, but it doesn't seem to phase you that so many babies die because of abortion?  #SemST
